index,people,car,truck,bus,motorcycle,0
right,0,0,0,0,0,2021/04/18_21:14:33
left,0,0,0,0,0,2021/04/18_21:14:33
right,0,0,0,0,0,2021/04/18_21:14:36
left,0,0,0,0,0,2021/04/18_21:14:36
right,0,0,0,0,0,2021/04/18_21:15:00
left,0,0,0,0,0,2021/04/18_21:15:00
right,0,0,0,0,0,2021/04/18_21:16:00
left,0,0,0,0,0,2021/04/18_21:16:00
right,0,0,0,0,0,2021/04/18_21:17:00
left,0,0,0,0,0,2021/04/18_21:17:00
right,0,0,0,0,0,2021/04/18_21:18:00
left,0,0,0,0,0,2021/04/18_21:18:00
right,0,0,0,0,0,2021/04/18_21:19:00
left,0,0,0,0,0,2021/04/18_21:19:00
right,0,0,0,0,0,2021/04/18_21:20:00
left,0,0,0,0,0,2021/04/18_21:20:00
